pid,id no,,es_print_ no,print,state_no,state,palette_no,palette,impression no,dimensions(wxh),watermark,impression notes,original site of installation,current location (if different),contact,contact_details,inventory_no,website_for_institutional_record,label,status,,Status,,Credit_line ,Status,,Terms_and_conditions,,Status,Request details,Status,Request details,Credit line ,Status,Request details,Terms and conditions,
objID11,flader11,,7,"Erasmus Loy (fl. c.1520–1570), Four Decorative Panels with Foliage, Cow Skull, Nude Woman and Trophies, Undated; suggested as c.1510–20 (Leiß 1970, following Lehrs 1908), c.1535 (Berliner and Egger 1925); c.1520–70 (Strauss), c.1560–70 (Appuhn 1976; all of Loy's graphic work, Reichel). ",I,Colour woodcut from two blocks,b,"Black, red-brown",1,each panel 395×744mm (Zug). ,,395×744mm ,CH-Zug-?,,"(Lehrs: viewed at the Antiquar Bossard, Lucerne, in September 1907; Leiß: destroyed in WWII)", , ,, ,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,
objID12,flader12,,7,"Erasmus Loy (fl. c.1520–1570), Four Decorative Panels with Foliage, Cow Skull, Nude Woman and Trophies, Undated; suggested as c.1510–20 (Leiß 1970, following Lehrs 1908), c.1535 (Berliner and Egger 1925); c.1520–70 (Strauss), c.1560–70 (Appuhn 1976; all of Loy's graphic work, Reichel). ",II,Copy: Key block only,a,Black,1,,,, ,"DE-Zwickau-Kunstsammlungen Zwickau - Max-Pechstein-Museum
","DE-Zwickau-Kunstsammlungen Zwickau - Max-Pechstein-Museum. From Culitzsch (since 1999, incorporated into of Wilkau-Haßlau, Zwickau, in Saxony), cut out and pasted onto pulpit, c.1550-75)",https://www.kunstsammlungen-zwickau.de/en/contact/, ,https://www.kunstsammlungen-zwickau.de/de/index.php, ,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,Not able to find - check references
objID13,flader13,,8,"Erasmus Loy (fl. c.1520–1570), Architectural Perspective with Guard, Undated; suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel).",I,Colour woodcut from two blocks,a,"Dark brown/black, red-orange",1,432×360mm (Boston). ,Watermark: Arms of Regensburg (Boston-MFA) ,(the sheet made from smaller pieces pasted together; dated 1550 on reverse in pencil; watermark: arms of Regensburg); ,DE-Bad Windesheim-Haus Seegasse 8,US-Boston-Museum of Fine Arts,US-Boston-Museum of Fine Arts,mfaimages@mfa.org, Boston-MFA AL.420,https://collections.mfa.org/collections, ,ready to order,,to do,,,to do,,"The MFA does not allow cropping, bleeding, overprinting or manipulation of the Authorized Image(s) without its prior written permission. If the Authorized Image(s) is/are to be published in color, color proofs in a printed format must be submitted to the MFA for approval or correction at least ten (10) days before printing. If the Work is published in a digital medium, the provisions of the attached Schedule I (“Digital Images”) will apply. You may use the Authorized Image to prepare a digital separation of the Art Object. You may use this separation solely to produce the Work. You will not make any additional use of Art Object or the Authorized Image without the prior written permission from the MFA. The statement “Photograph © [date of publication] Museum of Fine Arts, Boston.” must appear within the simultaneously visible context of the Authorized Image(s) and, whenever possible, placed adjacent to it. The information referenced above under the heading “Art Object” must also appear in the Work at a location that, if not simultaneously visible, is easily accessible to the user (such as a source list, credit page, or, for digital Works, a linked window). You may not use the MFA’s name other than as required to provide the same notices, and all uses of any MFA name or Work will inure to the benefit of the MFA.",,to do,,to do,,,to do,,,
objID14,flader14,,9,"Erasmus Loy (fl. c.1520–1570), Courtyard, Undated; suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel).",I,Colour woodcut from two blocks,a,"Black, brown",1,235×188mm (London; measured 280×204 in Strauss 1550-1600],,, ,UK-London-British Museum,UK-London-British Museum,sales@bmimages.com,"London-BM 1895,0122.129",https://www.britishmuseum.org/collection/object/P_1895-0122-129," Erasmus Loy, View of an arcade; a gate and tower at left. Colour woodcut from two blocks in black and brown and letterpress, ca 1555, Height: 235 millimetres (Borderline), Width: 188 millimetres, xx",done,,done,, View of an arcade; a gate and tower at left by Erasmus Loy licensed under (CC BY-NC-SA 4.0)  https://creativecommons.org/licenses/by-nc-sa/4.0/.  © The Trustees of the British Museum,done,,"Here is what the BM’s copyright information page states for the low-res images that it provides free for download under CC BY-NC-SA 4.0 , I have followed up with my contact at the BM for confirmation.
For the avoidance of doubt, the British Museum considers the following to be commercial activities (this list is not exhaustive): 
• Anything that is in itself charged for, including textbooks and academic books or journals 
• An individual's website or blog that is used as a platform to promote or conduct commercial activities (for example, to sell products created by or services provided by such an individual) 
• A commercial organization's website or blog, including trading arms of charities freely distributed leaflets or merchandise that promote goods or services 

The British Museum considers the following to be non-commercial activities (this list is not exhaustive): 
• Use in websites as long as they are informational, academic or research-oriented and not linked to any commercial activity 

Response from the BM
If your use fulfils the criteria for the CC licence, then you can use the images under that licence and can order the images through the Free Image Service. Please see my earlier email. As mentioned, that licence is separate from us and I can’t advise any further on it.
",,to do,,to do,,,to do,,,
objID15,flader15,,10,"Erasmus Loy (fl. c.1520–1570), Architectural Perspective with Birds in Flight, Undated; suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel).",I,Colour woodcut from two blocks,a,"Black, red, brown",1,"Unsigned. 281×184 (borders), 290×209mm (sheet) [Boston]. ",,, ,US-Boston-Museum of Fine Arts,US-Boston-Museum of Fine Arts,mfaimages@mfa.org, Boston-MFA AL.422,https://collections.mfa.org/collections, ,ready to order,,to do,,,to do,,"The MFA does not allow cropping, bleeding, overprinting or manipulation of the Authorized Image(s) without its prior written permission. If the Authorized Image(s) is/are to be published in color, color proofs in a printed format must be submitted to the MFA for approval or correction at least ten (10) days before printing. If the Work is published in a digital medium, the provisions of the attached Schedule I (“Digital Images”) will apply. You may use the Authorized Image to prepare a digital separation of the Art Object. You may use this separation solely to produce the Work. You will not make any additional use of Art Object or the Authorized Image without the prior written permission from the MFA. The statement “Photograph © [date of publication] Museum of Fine Arts, Boston.” must appear within the simultaneously visible context of the Authorized Image(s) and, whenever possible, placed adjacent to it. The information referenced above under the heading “Art Object” must also appear in the Work at a location that, if not simultaneously visible, is easily accessible to the user (such as a source list, credit page, or, for digital Works, a linked window). You may not use the MFA’s name other than as required to provide the same notices, and all uses of any MFA name or Work will inure to the benefit of the MFA.",,to do,,to do,,,to do,,,
objID16,flader16,,11,"Erasmus Loy (fl. c.1520–1570), Courtyard with Fountain, Undated; before 1556 (the date of a cabinet on which it was used (see Maierbach-Legl); suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel).",I,Colour woodcut from two blocks,a,"Black, light brown",1,352×294mm (London). ,,,"CH-Fribourg-Haus zum Salmen, Neigles 9 ",UK-London-British Museum,UK-London-British Museum,sales@bmimages.com,"  London-BM 1895,0122.128",Collection search | British Museum,"Erasmus Loy, A courtyard with Renaissance architecture and a fountain; a dog standing to right of the fountain. Colour woodcut from two blocks in black and brown and letterpress, ca 1555, Height: 352 millimetres (Borderline), Width: 294 millimetres, xx",done,,done,,"A courtyard with Renaissance architecture and a fountain; a dog standing to right of the fountain, by Erasmus Loy licensed under (CC BY-NC-SA 4.0)  https://creativecommons.org/licenses/by-nc-sa/4.0/.  © The Trustees of the British Museum.",done,,"Here is what the BM’s copyright information page states for the low-res images that it provides free for download under CC BY-NC-SA 4.0 , I have followed up with my contact at the BM for confirmation.
For the avoidance of doubt, the British Museum considers the following to be commercial activities (this list is not exhaustive): 
• Anything that is in itself charged for, including textbooks and academic books or journals 
• An individual's website or blog that is used as a platform to promote or conduct commercial activities (for example, to sell products created by or services provided by such an individual) 
• A commercial organization's website or blog, including trading arms of charities freely distributed leaflets or merchandise that promote goods or services 

The British Museum considers the following to be non-commercial activities (this list is not exhaustive): 
• Use in websites as long as they are informational, academic or research-oriented and not linked to any commercial activity 

Response from the BM
If your use fulfils the criteria for the CC licence, then you can use the images under that licence and can order the images through the Free Image Service. Please see my earlier email. As mentioned, that licence is separate from us and I can’t advise any further on it.
",,to do,,to do,,,to do,,,
objID17,flader17,,11,"Erasmus Loy (fl. c.1520–1570), Courtyard with Fountain, Undated; before 1556 (the date of a cabinet on which it was used (see Maierbach-Legl); suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel).",I,Colour woodcut from two blocks,a,"Black, light brown",2,352×294mm (London). ,,,"CH-Fribourg-Haus zum Salmen, Neigles 9 ",CH-Zurich-Musée national Suisse,CH-Zurich-Musée national Suisse,bildarchiv@nationalmuseum.ch,LM-64573.9-14,https://sammlung.nationalmuseum.ch/de/maincategory,Ornamental print. Fragments with arabesques. 1550 - 1600. Woodcut on paper.,done,,done,,Courtesy of Musée national Suisse. LM-64573.9-14,done,,,,to do,,to do,,,to do,,,
objID18,flader18,,12,"Anonymous  (????–????), Courtyard with Steeple, Undated; suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from two blocks,a,"Black, red-brown",1,424×356cm (borders). ,"Watermark: 'R' with two crossed keys, from Regensburg (similar to Briquet 1139) (Gnann).",, ,N/A-Private collection-Georg Baselitz,"N/A-Private collection-Georg Baselitz (from Rumbler Gallery, 1973-1975)",westner@baselitz.com, ,, ,!!!,,!!!,,,!!!,,,,to do,,to do,,,to do,,,
objID19,flader19,,13,"Erasmus Loy (fl. c.1520–1570), Two Courtyards with Ornamental Grill and Seated Man, Undated; c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from two blocks,a,"Black, red-orange",1,119×224mm,"Watermark: 'R' with two crossed keys, from Regensburg (similar to Briquet 1139) (Gnann).",, ,AT-Vienna-Albertina,AT-Vienna-Albertina,repro@albertina.at,DG1984/103/1,https://sammlungenonline.albertina.at/?query=search=/record/objectnumbersearch=[DG1984/103/1]&showtype=record,"Erasmus Loy (active in Regensburg around 1550 to 1570), Two depictions of Renaissance buildings framed by double arcades, around 1550, 11.9 × 22.4 cm, xx",done,,done,,"Courtesy of ""Albertina, Vienna""",done,,"This work is in the public domain and may be used freely. Please indicate the location ""Albertina, Vienna"" when publishing. If you use the work for scientific publications, we would be pleased to receive a link to the digital publication or the sending of a specimen copy to ourlibrary.
We provide the work in a resolution up to 300dpi, approx. A7 (1200 pixels / long page).
This allows quarterly catalogue images to be printed or digital presentations and web applications to be implemented.
For higher resolution images or new images, please use ourorder formor contact ourreproduction department. More information about reproductions can be foundhere.
Click on the image to download it:",,to do,,to do,,,to do,,,
objID20,flader20,,14,"Erasmus Loy (fl. c.1520–1570), Courtyard with Ladder and Two Figures, One with a Cane, Undated; suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel).",I,Colour woodcut from two blocks,a,"Black, red-orange",1,"392×302mm (sheet), 347×288mm (borders).","Watermark: 'R' with two crossed keys, from Regensburg (similar to Briquet 1139) (Gnann).",, ,AT-Vienna-Albertina,"AT-Vienna-Albertina (from Wawra, 1880)",repro@albertina.at, DG1984/102,https://sammlungenonline.albertina.at/?query=search=/record/objectnumbersearch=[DG1984/102]&showtype=record,"Erasmus Loy (active in Regensburg around 1550 to 1570), architectural perspective, around 1550, Sheet: 39.2 × 30.2 cm, 34.7 × 28.8 cm (architectural depiction).",done,,done,,"Courtesy of ""Albertina, Vienna""",done,,"This work is in the public domain and may be used freely. Please indicate the location ""Albertina, Vienna"" when publishing. If you use the work for scientific publications, we would be pleased to receive a link to the digital publication or the sending of a specimen copy to ourlibrary.
We provide the work in a resolution up to 300dpi, approx. A7 (1200 pixels / long page).
This allows quarterly catalogue images to be printed or digital presentations and web applications to be implemented.
For higher resolution images or new images, please use ourorder formor contact ourreproduction department. More information about reproductions can be foundhere.
Click on the image to download it:",,to do,,to do,,,to do,,,
objID21,flader21,,15,"Erasmus Loy (fl. c.1520–1570), Piazza with Tower, Undated; suggested as c.1535–70, c.1560–70 (all of Loy's graphic work, Reichel).",I,Colour woodcut from two blocks,a,"Black, red",1,,,, ,DE-Nuremberg-Germanisches Nationalmuseum,DE-Nuremberg-Germanisches Nationalmuseum (Maierbach-Legl),https://www.gnm.de/your-museum-in-nuremberg/services/contact/,H1947 Kaps 43.,https://www.gnm.de/your-museum-in-nuremberg/, ,order placed,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID22,flader22,,15,"Erasmus Loy (fl. c.1520–1570), Piazza with Tower, Undated; suggested as c.1535–70, c.1560–70 (all of Loy's graphic work, Reichel).",I,woodblock,b,Black,1,240×210mm,,, ,DE-Munich-Bayerisches Nationalmuseum,DE-Munich-Bayerisches Nationalmuseum, kontakt@bayerisches-nationalmuseum.de,Munich-BNM R 8992,https://www.bayerisches-nationalmuseum.de/en/, ,order placed,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID23,flader23,,16,"Erasmus Loy (fl. c.1520–1570), Arms of Regensburg with a Putto, Undated; c.1530 (Zapalac), mid-sixteenth century (Hupp 1910); c.1550–70, c.1550–60 (Appuhn);  c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from three blocks,a,"Black, red, orange-brown",1,,,Imprinted 'Des heilligen Römischen Reichs Stat=/ Regenspürg' (Regensburg / City of th+N26+J20:L26+J16:L26+N26+J+J20:L26,,DE-Munich-Bayerische Hauptstaatsarchiv,Hupp: 1/3 impressions in DE-Bayerisches Hauptstaatsarchiv,poststellebayhsta.bayern.de,Nachlass HUPP 3216,https://www.gda.bayern.de/hauptstaatsarchiv/, ,done,,to do,,,to do,,"Die Erlaubnis zur Veröffentlichung der oben angegebenen Reproduktionen wird Ihnen bei Anerkennung der nachfolgenden Verpflichtungen erteilt: Zu jeder Abbildung müssen das verwahrende Archiv und die Archivsignatur angegeben werden, und zwar in der Bildunterschrift beziehungsweise im Verzeichnis der Abbildungen (§ 8 Abs. 3 ArchivBO). Wir bitten um Übersendung eines kostenlosen Belegexemplars (§ 10 ArchivBO). Im Falle einer elektronischen Veröffentlichung bitten wir um kostenlose Übersendung der Datei, ggf. mit Angabe der Internetadresse der Veröffentlichung.                                                                                                                                                                                                                                                                                                                                                             Permission to publish the above reproductions is granted to you upon acknowledgment of the following obligations: To each The storing archive and the archive signature must be specified be, namely in the caption or in the list of Figures (§ 8 Para. 3 ArchivBO). We ask that you send us a free one specimen copy (§ 10 ArchivBO). In the case of an electronic publication we ask that you send us the file free of charge, if necessary stating the  Internet address of the publication.",,to do,,to do,,,to do,,,"Our copy initially belonged to the Bavarian General Reichsarchiv, one of our predecessor authorities, and then Otto Hupp, who exchanged it from the Reichsarchiv in 1920. From Otto Hupp's estate has apparently come back to us’, acknowledging the author (private communication) "
objID24,flader24,,16,"Erasmus Loy (fl. c.1520–1570), Arms of Regensburg with a Putto, Undated; c.1530 (Zapalac), mid-sixteenth century (Hupp 1910); c.1550–70, c.1550–60 (Appuhn);  c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from three blocks,a,"Black, red, orange-brown",2,,,Imprinted 'Des heilligen Römischen Reichs Stat=/ Regenspürg' (Regensburg / City of the Holy Roman Empire)., ,DE-Munich-Staatsarchiv (formerly Allgemeines Reichsarchiv),Hupp: 2/3 DE-Munich-Staatsarchiv (formerly Allgemeines Reichsarchiv),poststellestam.bayern.de, ,https://www.gda.bayern.de/muenchen/, ,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,"Our copy initially belonged to the Bavarian General Reichsarchiv, one of our predecessor authorities, and then Otto Hupp, who exchanged it from the Reichsarchiv in 1920. From Otto Hupp's estate has apparently come back to us’, acknowledging the author (private communication) "
